year,city,country,avg_temp
1965,New Orleans,United States,20.74
1966,New Orleans,United States,19.85
1967,New Orleans,United States,20.27
1968,New Orleans,United States,19.56
1969,New Orleans,United States,20.09
1970,New Orleans,United States,20.01
1971,New Orleans,United States,20.79
1972,New Orleans,United States,20.97
1973,New Orleans,United States,20.63
1974,New Orleans,United States,20.99
1975,New Orleans,United States,20.55
1976,New Orleans,United States,19.47
1977,New Orleans,United States,20.31
1978,New Orleans,United States,20.03
1979,New Orleans,United States,19.75
1980,New Orleans,United States,20.45
1981,New Orleans,United States,20.59
1982,New Orleans,United States,20.98
1983,New Orleans,United States,19.63
1984,New Orleans,United States,20.43
1985,New Orleans,United States,20.66
1986,New Orleans,United States,21.05
1987,New Orleans,United States,20.22
1988,New Orleans,United States,20.18
1989,New Orleans,United States,20.30
1990,New Orleans,United States,21.31
1991,New Orleans,United States,20.87
1992,New Orleans,United States,20.28
1993,New Orleans,United States,20.21
1994,New Orleans,United States,20.73
1995,New Orleans,United States,20.86
1996,New Orleans,United States,20.46
1997,New Orleans,United States,20.53
1998,New Orleans,United States,21.63
1999,New Orleans,United States,21.25
2000,New Orleans,United States,21.09
2001,New Orleans,United States,20.86
2002,New Orleans,United States,20.88
2003,New Orleans,United States,20.63
2004,New Orleans,United States,21.06
2005,New Orleans,United States,21.25
2006,New Orleans,United States,21.53
2007,New Orleans,United States,21.25
2008,New Orleans,United States,20.93
2009,New Orleans,United States,21.23
2010,New Orleans,United States,20.33
2011,New Orleans,United States,21.17
2012,New Orleans,United States,21.81
2013,New Orleans,United States,22.00
